WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Freq,LogFreq,Modality,AnyPositive,AllEqual
reggae__n,0,0.004212054,0.047006127,0,0.061844926,reggae,n,49,1.69019608,Haptic,yes,no
snap__n,-0.104063612,0.078458728,0.129436364,0,0.003468175,snap,n,887,2.94792362,Gustatory,yes,no
snap__a,0.009732747,0.015055827,-0.004089401,0,-0.038265673,snap,a,887,2.94792362,Auditory,yes,no
ing__v,0.082189838,-0.000743253,0,0,0.028362072,ing,v,83,1.919078092,Visual,yes,no
abels__n,0,0,0.133654602,0,0,abels,n,NA,NA,Gustatory,yes,no
pockmark__v,0.01954918,0,0,0,0.018160317,pockmark,v,1,0,Visual,yes,no
socially__r,-0.022382388,-0.018932833,-0.087517431,0,-0.009211372,socially,r,148,2.170261715,Olfactory,no,no
shift__n,-0.019567868,-0.023917513,0.01821425,0,0.010134935,shift,n,1164,3.06595298,Gustatory,yes,no
titans__n,0.01961893,-0.030709816,0.014155242,0,0.037039697,titans,n,81,1.908485019,Haptic,yes,no
serial-killer__a,0.031690925,0.02168426,0,0,0.080162686,serial-killer,a,NA,NA,Haptic,yes,no
stifled__n,0.067533,0,0,0,0.066105594,stifled,n,20,1.301029996,Visual,yes,no
shift__v,-0.004312597,-0.017390448,-0.02539989,0,-0.037082602,shift,v,1164,3.06595298,Olfactory,no,no
cubic__a,0.001735679,-0.047894345,-0.022659561,0,0.018823829,cubic,a,44,1.643452676,Haptic,yes,no
domesticated__a,0,0,0,0,0.070175186,domesticated,a,28,1.447158031,Haptic,yes,no
fullback__n,-0.008767299,0.021164131,0.01612285,0,0.039340567,fullback,n,22,1.342422681,Haptic,yes,no
ambulance__n,-0.012318904,0.039715158,0.012272346,0,0.001921736,ambulance,n,1143,3.05804623,Auditory,yes,no
bleacher__n,0.022333065,-0.04525953,0.046489442,0,-0.03596146,bleacher,n,3,0.477121255,Gustatory,yes,no
accolade__n,0,0.021039946,0,0,0.041877907,accolade,n,1,0,Haptic,yes,no
side-by-side__r,0.046116056,0,0,0,0.008113705,side-by-side,r,NA,NA,Visual,yes,no
waiver__n,-0.03348736,0.004640464,-0.018820611,0,0.038396425,waiver,n,49,1.69019608,Haptic,yes,no
kickoff__a,0.074964391,0,0,0,0.023954859,kickoff,a,53,1.72427587,Visual,yes,no
circular__a,0.041762903,-0.044461563,0,0,0,circular,a,81,1.908485019,Visual,yes,no
democrats__n,-0.010442084,-0.004423204,-0.06003066,-0.059969731,0.0020567,democrats,n,68,1.832508913,Haptic,no,no
two-person__a,0.046551219,0,0,0,0.045162357,two-person,a,NA,NA,Visual,yes,no
senators__n,0,-0.009882586,0,0,0.035166492,senators,n,120,2.079181246,Haptic,yes,no
kickoff__n,0.02132617,-0.054514796,0.017424354,0,-0.005486297,kickoff,n,53,1.72427587,Visual,yes,no
glisten__v,0.119490006,0,0.017480189,0,-0.067590135,glisten,v,22,1.342422681,Visual,yes,no
projection__n,0.025215985,-0.023240473,-0.070147181,0,-0.021627785,projection,n,107,2.029383778,Visual,yes,no
missionary__n,-0.01689359,0.030987479,0,0,0.031572438,missionary,n,109,2.037426498,Haptic,yes,no
extension__n,-0.030199897,-0.003858939,-0.051144695,0,-0.012405764,extension,n,275,2.439332694,Olfactory,no,no
authorized__a,-0.068835561,0.05829456,0,0,0.033455674,authorized,a,319,2.503790683,Auditory,yes,no
crosswise__n,0.074872852,0,0.070989799,0,0.007894618,crosswise,n,1,0,Visual,yes,no
tenor__n,-0.0195167,-0.079145329,-0.045477614,0,0.018238477,tenor,n,79,1.897627091,Haptic,yes,no
appropriation__n,0.015780662,-0.030879164,0,0,0.000674939,appropriation,n,8,0.903089987,Visual,yes,no
yoga__n,0.042644386,-0.002768143,0.042806949,0,-0.055002013,yoga,n,227,2.356025857,Gustatory,yes,no
price-fixing__a,0,0.042557316,0,0,-0.012442341,price-fixing,a,NA,NA,Auditory,yes,no
inspector__n,0.015520049,0.032794762,-0.069538283,0,-0.015796709,inspector,n,1124,3.050766311,Auditory,yes,no
house__n,-0.013574114,-0.013315114,-0.031621902,0.00553392,0.002827107,house,n,26214,4.418533295,Olfactory,no,no
touchdown__n,-0.012961548,-0.028306631,0.042150953,-0.141913786,0.020024492,touchdown,n,253,2.403120521,Gustatory,yes,no
affect__v,-0.037378296,0.005279288,-0.003421937,-0.10811041,-0.040228684,affect,v,568,2.754348336,Auditory,no,no
peppery__a,0,0,0.09401908,0.235433558,0,peppery,a,1,0,Olfactory,yes,no
touchdown__a,0,0.009807334,0.053789002,0,0.055569763,touchdown,a,253,2.403120521,Haptic,yes,no
accelerator__n,0,0.013956032,-0.027842249,0,0.033384102,accelerator,n,69,1.838849091,Haptic,yes,no
lifelike__a,0.024003809,0.034080406,0,0,-0.005035245,lifelike,a,31,1.491361694,Auditory,yes,no
overzealous__a,0.012880472,0,0,0,0.031768506,overzealous,a,29,1.462397998,Haptic,yes,no
dysfunctional__a,0,0.00380137,0,0,0.047606789,dysfunctional,a,78,1.892094603,Haptic,yes,no
cd-rom__n,0.011262924,-0.077609133,0,0,-0.02954676,cd-rom,n,NA,NA,Visual,yes,no
troublesome__a,0.017948584,-0.017000308,0,0,-0.007822469,troublesome,a,79,1.897627091,Visual,yes,no
smashing__n,0.087043516,0,0,0,0,smashing,n,169,2.227886705,Visual,yes,no
anywhere__r,-0.009680711,0.013990194,-0.056304263,0,0.030657986,anywhere,r,4501,3.653309013,Haptic,yes,no
child-care__a,-0.03348736,-0.088108529,0.01672681,0,-0.006827945,child-care,a,NA,NA,Gustatory,yes,no
entry-level__a,0,0.059944013,0,0,-0.045043914,entry-level,a,NA,NA,Auditory,yes,no
anywhere__n,0,0.043514065,0,0,0,anywhere,n,4501,3.653309013,Auditory,yes,no
constrain__v,0,0.052529479,0,0,0,constrain,v,2,0.301029996,Auditory,yes,no
blur__n,-0.007659687,0.001780937,0,0,0.06222111,blur,n,109,2.037426498,Haptic,yes,no
formidable__a,0.034786108,-0.056832584,-0.034942901,0.005988762,-0.003743784,formidable,a,87,1.939519253,Visual,yes,no
playfully__r,-0.017115156,-0.00786445,0,0,-0.045043914,playfully,r,8,0.903089987,Gustatory,no,no
rapid-fire__a,-0.029224884,0.029609712,0.004472421,0,0,rapid-fire,a,NA,NA,Auditory,yes,no
boneless__v,0.009283481,0,0.148060505,0,0,boneless,v,15,1.176091259,Gustatory,yes,no
boneless__n,0,0,0.15444413,0,0,boneless,n,15,1.176091259,Gustatory,yes,no
synthesis__n,0.081456564,0,0,0,0,synthesis,n,15,1.176091259,Visual,yes,no
boneless__a,-0.049806673,0,0.177903666,0,-0.051195536,boneless,a,15,1.176091259,Gustatory,yes,no
wear__v,0.068513698,-0.028125157,0.017171765,-0.055350929,-0.011664646,wear,v,5576,3.746322765,Visual,yes,no
skew__v,0.023116481,-0.035705861,0,0,0,skew,v,7,0.84509804,Visual,yes,no
rampant__a,-0.047984334,-0.020192947,0.002000407,0,-0.021747267,rampant,a,49,1.69019608,Gustatory,no,no
fraction__n,-0.019131847,-0.010985058,0.000931866,0.096747433,-0.020687439,fraction,n,104,2.017033339,Olfactory,yes,no
wear__n,0.036260926,0.024539064,-0.010163444,0,0.009018845,wear,n,5576,3.746322765,Visual,yes,no
adulthood__n,0.033505208,-0.017886187,-0.030859154,0,-0.065983865,adulthood,n,37,1.568201724,Visual,yes,no
parched__a,0.039664066,0,0.009010565,0,0.0220106,parched,a,58,1.763427994,Visual,yes,no
lunatic__n,0,0.02631485,0.021733931,0,0.01496375,lunatic,n,433,2.636487896,Auditory,yes,no
electrode__n,0.028292087,-0.01794405,0.026037618,0,-0.035843761,electrode,n,15,1.176091259,Visual,yes,no
cautionary__a,-0.028340463,0.017924672,0,0,-0.044934456,cautionary,a,18,1.255272505,Auditory,yes,no
jt__a,0.012880472,0,0.018318043,0,0,jt,a,33,1.51851394,Gustatory,yes,no
objection__n,-0.024410987,-0.017006385,-0.093573146,0,-0.006911445,objection,n,1108,3.04453976,Olfactory,no,no
crucial__a,-0.0107414,-0.032335275,-0.036032097,0,-0.022809041,crucial,a,234,2.369215857,Olfactory,no,no
installment__n,-0.025877677,-0.054814075,-0.076705606,0,-0.098490796,installment,n,25,1.397940009,Olfactory,no,no
cajole__v,0,0.042513264,-0.00166749,0,-0.009087092,cajole,v,7,0.84509804,Auditory,yes,no
popularly__r,0.029818147,0,0,0,0,popularly,r,3,0.477121255,Visual,yes,no
smuggling__n,-0.012550576,-0.003208189,0,0,0.005826665,smuggling,n,154,2.187520721,Haptic,no,no
high-level__a,-0.034817267,-0.030199237,-0.046582974,0,0.012737247,high-level,a,NA,NA,Haptic,yes,no
affable__a,0.051733025,0.010295779,0,0,-0.028777012,affable,a,6,0.77815125,Visual,yes,no
crusaders__n,0.006357126,0,0.01197084,0,0.025114135,crusaders,n,19,1.278753601,Haptic,yes,no
physically__r,-0.00807436,-0.020214666,-0.008278101,0,0.02172248,physically,r,471,2.673020907,Haptic,yes,no
vision__n,0.141657979,-0.035660001,-0.082088656,-0.069063843,-0.07408553,vision,n,1218,3.085647288,Visual,yes,no
white-collar__a,0,0.016079282,0,0,-0.022205432,white-collar,a,NA,NA,Auditory,yes,no
wrangler__n,-0.099773442,-0.02875069,0.00666384,0,0.020620851,wrangler,n,10,1,Haptic,yes,no
deterrence__n,-0.003646382,0.013719446,0,0,0,deterrence,n,2,0.301029996,Auditory,yes,no
deplete__v,-0.032596571,-0.006944125,-0.044794145,0,0.002708224,deplete,v,7,0.84509804,Haptic,no,no
darn__r,0,0.0653101,0,0,0,darn,r,709,2.850646235,Auditory,yes,no
collie__n,-0.007937192,-0.005737552,0.080077632,0,0.003560519,collie,n,53,1.72427587,Gustatory,yes,no
vacuum__n,-0.070218151,0.007403973,-0.007754769,0,0.017304807,vacuum,n,294,2.46834733,Haptic,yes,no
darn__a,0.024424725,0.027185826,-0.026294574,0,-0.027415183,darn,a,709,2.850646235,Auditory,yes,no
intercity__n,0.029818147,0,0.015068851,0,0.058321874,intercity,n,3,0.477121255,Haptic,yes,no
chlorine__n,0,0,0.01197084,0,-0.022205432,chlorine,n,38,1.579783597,Gustatory,yes,no
scallion__n,0.029486662,0,0.173766652,0.071541383,0,scallion,n,8,0.903089987,Gustatory,yes,no
cherry__a,0.113648398,0,0.089503508,0,-0.072463139,cherry,a,693,2.840733235,Visual,yes,no
again__n,0,0.015337058,0.058131131,0,0.023954859,again,n,40428,4.606682257,Gustatory,yes,no
cherry__n,0.023079433,0,0.126513982,0.208971446,0,cherry,n,693,2.840733235,Olfactory,yes,no
focus__v,-0.029156059,-0.00735955,-0.032872437,-0.07564804,-0.031089027,focus,v,1499,3.175801633,Auditory,no,no
respondent__n,-0.012165921,0.034163956,-0.040078469,0,-0.03976085,respondent,n,7,0.84509804,Auditory,yes,no
protrusion__n,0.117283608,0,0,0,0,protrusion,n,3,0.477121255,Visual,yes,no
focus__n,-0.034084877,0.013088262,-0.03014759,0,-0.010895209,focus,n,1499,3.175801633,Auditory,yes,no
yankees__a,0.023762076,0.016044419,-0.035178243,0,0.017121959,yankees,a,309,2.489958479,Visual,yes,no
yankees__n,-0.036749432,-0.040902024,0.03184959,-0.130127347,0.062058458,yankees,n,309,2.489958479,Haptic,yes,no
volley__n,0,-0.030823234,0.104082246,0,0.066795189,volley,n,24,1.380211242,Gustatory,yes,no
replicate__v,0.026749564,-0.041322973,-0.057027934,0,-0.032145134,replicate,v,37,1.568201724,Visual,yes,no
gender__n,-0.016670816,0.006091589,-0.068930272,0,-0.028685345,gender,n,143,2.155336037,Auditory,no,no
agatea__n,0,0.009542516,0,0,0,agatea,n,NA,NA,Auditory,no,no
interrogation__n,0,0,0.029141027,0,0,interrogation,n,289,2.460897843,Gustatory,yes,no
guideline__n,-0.013840763,0.003789975,-0.043377574,0,-0.042622221,guideline,n,14,1.146128036,Auditory,no,no
paratrooper__n,0.04236469,0,0,0,0,paratrooper,n,16,1.204119983,Visual,yes,no
wire__n,-0.026881616,-0.042853807,0.030405138,-0.067639272,-0.036935825,wire,n,1403,3.147057671,Gustatory,yes,no
wire__v,-0.066148278,-0.022962628,0.021045263,0.026325721,0.027356279,wire,v,1403,3.147057671,Haptic,yes,no
ravine__n,0.032570392,0,0,0,0.003300023,ravine,n,94,1.973127854,Visual,yes,no
recreation__n,0,-0.03763397,0.006347699,0,0,recreation,n,95,1.977723605,Gustatory,no,no
red-orange__a,0.117375472,0,0,0,0,red-orange,a,NA,NA,Visual,yes,no
conversant__v,0,0.106792679,0,0,0.064320609,conversant,v,6,0.77815125,Auditory,yes,no
chemotherapy__n,-0.059163667,-0.069960234,0.03363586,0,-0.011427212,chemotherapy,n,59,1.770852012,Gustatory,yes,no
effectiveness__n,0.002526453,-0.00897002,0.028070171,0,-0.024189952,effectiveness,n,27,1.431363764,Gustatory,yes,no
share__v,-0.022601024,-0.006946977,-0.039960834,-0.059978441,-0.0332874,share,v,3545,3.54961624,Auditory,no,no
proliferate__v,-0.017115156,-0.00786445,0.016582149,0,0,proliferate,v,NA,NA,Gustatory,yes,no
share__n,-0.017160743,-0.045379619,0.018961327,-0.154471536,-0.030132356,share,n,3545,3.54961624,Gustatory,yes,no
stork__n,0,0.009542516,0.052336589,0,0.018160317,stork,n,83,1.919078092,Gustatory,yes,no
instance__n,0.013863116,-0.040411683,-0.03531971,-0.049434907,-0.026830139,instance,n,856,2.932473765,Visual,yes,no
banter__n,0.017645135,-0.039336326,0,0,-0.030718524,banter,n,70,1.84509804,Visual,yes,no
visor__n,0.074872852,-0.000723183,0,0,0.007894618,visor,n,30,1.477121255,Visual,yes,no
stogy__n,0,0,0.081540385,0.222954863,0.046415675,stogy,n,1,0,Olfactory,yes,no
seriousness__n,0.011549703,-0.020156161,0,0,-0.01085809,seriousness,n,64,1.806179974,Visual,yes,no
giddy__a,0.011446914,-0.013516031,-0.0508245,0,0.009869875,giddy,a,91,1.959041392,Visual,yes,no
podium__n,0.02172897,0.015211045,-0.038184511,0,-0.036364232,podium,n,65,1.812913357,Visual,yes,no
endeavor__n,-0.077584903,-0.022230397,-0.043887598,0.067891416,-0.045645589,endeavor,n,76,1.880813592,Olfactory,yes,no
retail__v,0,0.015795544,0.082246317,0,0,retail,v,118,2.071882007,Gustatory,yes,no
retail__n,0.031836513,0,0,0,0,retail,n,118,2.071882007,Visual,yes,no
gaudy__a,0.028292087,-0.01794405,-0.00166749,0,-0.035843761,gaudy,a,21,1.322219295,Visual,yes,no
retail__a,-0.030088582,-0.033849549,-0.034055936,0,-0.049259956,retail,a,118,2.071882007,Olfactory,no,no
purchase__v,-0.01980158,-0.030433303,-0.016193759,-0.035065083,-0.053805073,purchase,v,325,2.511883361,Gustatory,no,no
crimson__a,0.091623191,0,0.015068851,0,-0.019107421,crimson,a,67,1.826074803,Visual,yes,no
smattering__n,-0.025421498,0.012319915,0.008275807,0,0.008407659,smattering,n,9,0.954242509,Auditory,yes,no
cartridge__n,0.01624234,0.040261522,0,0,0.01476322,cartridge,n,49,1.69019608,Auditory,yes,no
purchase__n,0.074960577,-0.034762978,-0.115800934,-0.1036589,-0.015076753,purchase,n,325,2.511883361,Visual,yes,no
ineffective__a,-0.024702589,-0.069085894,-0.005523054,0,0.00739899,ineffective,a,30,1.477121255,Haptic,no,no
extra__r,0.013521972,-0.025660528,0.019204529,0,0.077629703,extra,r,3017,3.47957531,Haptic,yes,no
dislike__v,-0.008210894,-0.05192821,0.027911341,0,-0.030210224,dislike,v,200,2.301029996,Gustatory,yes,no
impractical__a,-0.011588402,0.027653099,0,0,0,impractical,a,45,1.653212514,Auditory,yes,no
extra__a,-0.004008882,-0.028344223,0.034966851,-0.044040046,-0.013245119,extra,a,3017,3.47957531,Gustatory,yes,no
uncovered__a,0.000401777,-0.036617776,0.071563745,0,0.035166492,uncovered,a,130,2.113943352,Gustatory,yes,no
extra__n,-0.045598561,-0.055882924,0,0,-0.012500405,extra,n,3017,3.47957531,Gustatory,no,no
sens__n,-0.048743734,-0.003687126,0.02907401,0.132712222,0.024596992,sens,n,NA,NA,Olfactory,yes,no
breath__n,-0.004591546,0.009052129,0.014754742,0.048350151,0.044943377,breath,n,2291,3.360025089,Olfactory,yes,no
moolah__n,0,0.057248637,0,0,0,moolah,n,10,1,Auditory,yes,no
burger__n,-0.071369346,-0.08137601,0.115956725,0,0.000436022,burger,n,522,2.717670503,Gustatory,yes,no
mighty__a,-0.018642046,-0.039080639,0.048676676,0,0.009869875,mighty,a,1355,3.131939295,Gustatory,yes,no
first-team__a,0,0.052810073,0,0,0.061844926,first-team,a,NA,NA,Haptic,yes,no
strikeout__n,-0.075764552,-0.043275662,0.021170186,0,0.048990241,strikeout,n,20,1.301029996,Haptic,yes,no
sputter__v,-0.026611111,-0.036617776,0.034099082,0,0,sputter,v,6,0.77815125,Gustatory,yes,no
apprehend__v,0,0,0,0,0.092780202,apprehend,v,73,1.86332286,Haptic,yes,no
motel__n,-0.039787777,-0.050584343,0.006738476,0,-0.021050847,motel,n,927,2.967079734,Gustatory,no,no
wireless__a,-0.065386477,-0.024747477,-0.048488294,-0.024429166,-0.03680994,wireless,a,135,2.130333768,Olfactory,no,no
daughter-in-law__n,0,0,0,0,0.019039171,daughter-in-law,n,NA,NA,Haptic,yes,no
wireless__n,-0.055350857,-0.020361393,-0.047496239,0.020412365,-0.049482619,wireless,n,135,2.130333768,Olfactory,yes,no
martial__a,-0.043478381,-0.053969309,-0.009104252,0,-0.006101572,martial,a,296,2.471291711,Olfactory,no,no
stuffy__a,-0.026611111,-0.009882586,0,0,0.019039171,stuffy,a,185,2.267171728,Haptic,yes,no
schooler__n,0,0.025831861,0,0,0.005826665,schooler,n,3,0.477121255,Auditory,yes,no
run-scoring__a,-0.009496001,-0.0799438,0.009446624,0,-0.026383581,run-scoring,a,NA,NA,Gustatory,no,no
stardom__n,-0.013680251,0.001352175,-0.002299273,0,0.011004524,stardom,n,31,1.491361694,Haptic,yes,no
defraud__v,-0.05510099,-0.031524939,0,0,-0.0223471,defraud,v,19,1.278753601,Gustatory,no,no
recipient__n,-0.010454227,-0.041938685,-0.039475432,0,-0.012107021,recipient,n,59,1.770852012,Olfactory,no,no
bullets__n,0,0.015337058,0.058131131,0,0.073508316,bullets,n,901,2.954724791,Haptic,yes,no
prominence__n,0.010227709,-0.021450828,-0.023892808,0,-0.001088768,prominence,n,16,1.204119983,Visual,yes,no
golf__n,-0.014280776,0.019997239,-0.024976741,-0.084582049,0.043248664,golf,n,1302,3.114610984,Haptic,yes,no
bittersweet__a,0.00202153,-0.134852753,0.122056137,0.265829761,-0.047506614,bittersweet,a,23,1.361727836,Olfactory,yes,no
raising__n,-0.012715422,-0.032271572,0,0,-0.022777249,raising,n,574,2.758911892,Gustatory,no,no
tomorrow__n,-0.038554547,0.046062341,0.001954188,0,0.016497882,tomorrow,n,17134,4.233858763,Auditory,yes,no
foreign__a,-0.036855499,-0.033776786,-0.064042866,-0.127098198,-0.056997796,foreign,a,1137,3.055760465,Auditory,no,no
blend__n,0.011582242,-0.139727801,0.067437898,0.120916866,-0.03976085,blend,n,218,2.338456494,Olfactory,yes,no
modem__n,-0.01620487,-0.011793257,-0.049597897,0,0.055811393,modem,n,55,1.740362689,Haptic,yes,no
blend__v,-0.01200821,-0.126483165,0.082482414,0.028372554,-0.037941118,blend,v,218,2.338456494,Gustatory,yes,no
predators__n,0,-0.000723183,0.04207089,0,0.007894618,predators,n,95,1.977723605,Gustatory,yes,no
centimeter__n,0,0.038313099,0,0,0,centimeter,n,10,1,Auditory,yes,no
oldest__a,-0.043967492,-0.001520095,-0.023481412,-0.016917525,-0.021558983,oldest,a,478,2.679427897,Auditory,no,no
melodramatic__a,-0.002392216,0.023093435,0,0,0,melodramatic,a,62,1.792391689,Auditory,yes,no
dietary__n,0,-0.005317779,0.066267697,0,0.003300023,dietary,n,18,1.255272505,Gustatory,yes,no
dietary__a,-0.019288143,0.005585382,-0.012981954,0,-0.047158226,dietary,a,18,1.255272505,Auditory,no,no
flabby__a,0.098736468,0,0,0,0.030302062,flabby,a,41,1.612783857,Visual,yes,no
redundancy__n,0,0.016079282,0.040054431,0.149566839,0,redundancy,n,32,1.505149978,Olfactory,yes,no
resident__n,0.006779326,0.000848698,-0.031112122,-0.018470012,-0.030756856,resident,n,374,2.572871602,Visual,no,no
eel__n,0,0,0.141657451,0,0,eel,n,73,1.86332286,Gustatory,yes,no
deregulatory__a,0,0.028700767,0,0,0.037318569,deregulatory,a,NA,NA,Haptic,yes,no
depressed__a,-0.001480504,0.007491752,-0.041872556,0,0.052147476,depressed,a,830,2.919078092,Haptic,yes,no
frustration__n,-0.02746446,0.017389735,-0.017564035,0,0.018663034,frustration,n,152,2.181843588,Haptic,yes,no
overhear__v,-0.057590113,0.100339347,-0.004287304,0,-0.059017518,overhear,v,53,1.72427587,Auditory,yes,no
skillful__a,-0.023437494,-0.033721857,0,0,0.010463541,skillful,a,40,1.602059991,Haptic,yes,no
iconography__n,0.088974827,0,0,0,0,iconography,n,3,0.477121255,Visual,yes,no
phosgenite__n,0.052858425,-0.010374779,0,0,-0.001076709,phosgenite,n,NA,NA,Visual,yes,no
trench__n,0.02598137,-0.028827177,-0.057870603,0,0.008187376,trench,n,157,2.195899652,Visual,yes,no
replacement__n,-0.020183135,-0.041687373,0.002168352,0,0.011066769,replacement,n,317,2.501059262,Haptic,yes,no
targeted__a,0.017723861,-0.011776973,-0.005523054,0,-0.041353259,targeted,a,110,2.041392685,Visual,yes,no
understaff__v,0.04784308,0.037558717,0,0,0.018160317,understaff,v,NA,NA,Visual,yes,no
bedevil__v,-0.047818609,0,-0.0150312,0,-0.049207471,bedevil,v,NA,NA,Auditory,no,no
lower-paid__a,0,0,0,0,0.087518751,lower-paid,a,NA,NA,Haptic,yes,no
impartial__a,0.020091697,-0.017459524,0,0,0,impartial,a,51,1.707570176,Visual,yes,no
sweeping__a,0.026130856,-0.083659978,-0.06418405,0,-0.037702976,sweeping,a,170,2.230448921,Visual,yes,no
full-time__a,-0.025512451,0.012558709,-0.063058407,0,-0.007253426,full-time,a,NA,NA,Auditory,yes,no
wrecked__a,-0.014469367,0.022733652,0,0,-0.015858229,wrecked,a,272,2.434568904,Auditory,yes,no
full-time__r,0,0.017635128,0,0,0.071480398,full-time,r,NA,NA,Haptic,yes,no
sovereignty-eroding__a,0,0.058398498,0,0,0.067433352,sovereignty-eroding,a,NA,NA,Haptic,yes,no
anchor__v,-0.068613068,-0.121612824,0.014875111,0,-0.070069143,anchor,v,378,2.5774918,Gustatory,yes,no
flurry__n,0.035127361,-0.087563987,0.014756007,0,-0.03073712,flurry,n,24,1.380211242,Visual,yes,no
time__n,-0.012925931,0.004314265,-0.028983003,-0.097875919,0.013451296,time,n,99890,4.999522013,Haptic,yes,no
directory__n,-0.041271252,0.010835427,-0.066986033,0,-0.019348481,directory,n,84,1.924279286,Auditory,yes,no
time__v,-0.049066806,0.036051602,-0.034093299,0,-0.022861275,time,v,99890,4.999522013,Auditory,yes,no
anchor__n,0.002655546,-0.028120063,0.049690487,0.026325721,-0.029663448,anchor,n,378,2.5774918,Gustatory,yes,no
anniversary__n,-0.037879527,-0.031984177,-0.031642704,0,-0.062086212,anniversary,n,939,2.972665592,Olfactory,no,no
round__a,0.059269851,0,0.066879299,0,-0.048466932,round,a,3393,3.53058386,Gustatory,yes,no
pretty__r,-0.005500012,0.042866394,-0.015016478,-0.011916971,0.014779442,pretty,r,20003,4.301095135,Auditory,yes,no
embarrassed__a,-0.00919752,-0.025455826,0.00193617,0,0.05039064,embarrassed,a,1093,3.038620162,Haptic,yes,no
tabasco__a,0,0,0.141657451,0,0,tabasco,a,23,1.361727836,Gustatory,yes,no
pretty__a,0.05288699,-0.046428418,-0.007005248,0.001910229,-0.019513023,pretty,a,20003,4.301095135,Visual,yes,no
hockey__n,-0.028371968,0.006159001,0.042162085,-0.026397641,0.017090349,hockey,n,588,2.769377326,Gustatory,yes,no
tinge__n,0.134336784,0,0,0,0,tinge,n,10,1,Visual,yes,no
hockey__a,-0.040279306,-0.009651006,0.078686713,0,-0.029205284,hockey,a,588,2.769377326,Gustatory,yes,no
prisoner__n,-0.020389751,-0.010242103,-0.119105119,0,0.034345578,prisoner,n,1180,3.071882007,Haptic,yes,no
gnash__v,0,0.009542516,0.052336589,0,0.018160317,gnash,v,5,0.698970004,Gustatory,yes,no
success__n,0.002491038,-0.01072903,-0.06567884,-0.083802974,-0.02493998,success,n,1390,3.1430148,Visual,no,no
like__a,0.015354096,0.010591999,-0.008666563,-0.037712434,0.006584931,like,a,203947,5.309517321,Visual,yes,no
like__v,0.004267647,0.040086861,-0.012889446,-0.035136722,-0.008059232,like,v,203947,5.309517321,Auditory,yes,no
discern__v,0,-0.046883475,-0.004089401,0,0,discern,v,17,1.230448921,Visual,no,no
headache__n,-0.032288501,-0.005225092,-0.001627672,0,0.032273377,headache,n,719,2.85672889,Haptic,yes,no
